file,DDA_check,SF_check,Npp,Dmob,Dve,V/V0,Mtot/Mbc,core_Df,core_Df_error,Df,Df_error,x,coating_RI,wavelength,core_PSP,Cext,Qext,Cabs,Qabs,SSA,g,Cext_HS,Qext_HS,Cabs_HS,Qabs_HS,SSA_HS,g_HS,Cext_CS,Qext_CS,Cabs_CS,Qabs_CS,SSA_CS,g_CS
coated_79_1,TRUE,TRUE,347,0.589138,0.28103,1,1,1.75393,0.0137739,1.849069548,0,0.459890212,(1.6+0j),0.3,0.282422402,0.355252588,5.727195416,0.231572236,3.733285818,0.348147645,0.921648935,0.175051445,2.822087348,0.092074911,1.4843833,0.474012276,0.736839758,0.175051445,2.822087348,0.092074911,1.4843833,0.474012276,0.736839758
coated_79_2,TRUE,TRUE,347,0.589155,0.301284,1.231855,1.15457,1.79289,0.0176141,1.864954809,0,0.444044611,(1.6+0j),0.7,0.160492359,0.147460068,2.068389913,0.118000995,1.655173975,0.199776616,0.796448546,0.192556333,2.700945292,0.111242007,1.560367148,0.422288503,0.438208606,0.189584236,2.659256346,0.108806229,1.52620102,0.426079768,0.413098549
coated_79_3,TRUE,TRUE,347,0.591763,0.323182,1.52086,1.34724,1.82608,0.0139466,1.946331739,0,0.429837762,(1.6+0j),1.15,0.121703715,0.086830423,1.058492307,0.075013263,0.914437124,0.13609469,0.66007291,0.114850514,1.400066723,0.081841647,0.997677443,0.287407217,0.186690861,0.11932772,1.454645387,0.083481951,1.017673303,0.300397669,0.156773566
coated_79_4,TRUE,TRUE,347,0.583514,0.345606,1.85986,1.57324,1.85407,0.0112996,1.987808182,0,0.41429608,(1.6+0j),0.85,0.204508699,0.149667166,1.595416599,0.110028142,1.172873975,0.26484783,0.709212503,0.207483919,2.21172952,0.121163331,1.291572463,0.416035075,0.426229125,0.206306571,2.199179266,0.11927734,1.271468245,0.421844202,0.35924266
coated_79_5,TRUE,TRUE,347,0.585217,0.381006,2.493445,1.99563,1.90536,0.0156671,2.026715125,0,0.396802698,(1.6+0.0252j),0.45,0.470375732,0.43372137,3.804147167,0.21384227,1.875599225,0.506959341,0.871645653,0.350929622,3.07798513,0.168702821,1.479683506,0.519268793,0.750276873,0.291850658,2.559806666,0.160584485,1.408478012,0.449771723,0.768563612
coated_79_6,TRUE,TRUE,347,0.593556,0.408188,3.06706,2.37804,1.93281,0.0140143,2.065418351,0,0.387061006,(1.6+0j),0.9,0.258034696,0.205512983,1.57046736,0.121015882,0.924766358,0.411152131,0.680484337,0.272581742,2.082986305,0.1386877,1.059808986,0.491206935,0.520246031,0.261232422,1.996258273,0.137927647,1.054000896,0.472011758,0.441998589
coated_79_7,TRUE,TRUE,347,0.742751,0.598326,9.66019,6.77346,2.03387,0.0125942,3,0,0.359975923,(1.6+0.00082j),0.35,0.882463893,1.014883986,3.609530929,0.341008654,1.212829545,0.663992478,0.920083606,0.691343902,2.458830007,0.33983409,1.208652099,0.508444221,0.714163765,0.877850687,3.122159037,0.210420016,0.748378698,0.760300904,0.566545222
coated_79_8,TRUE,TRUE,347,0.775669,0.689868,14.8186,10.2124,2.11712,0.0203481,3,0,0.347055386,(1.6+0.001j),0.35,1.021840684,1.191440439,3.187501916,0.363315382,0.971990238,0.695062069,0.899440954,0.823049692,2.201933378,0.397087397,1.062341682,0.517541406,0.662922303,1.004941438,2.688554672,0.21173358,0.566458188,0.789307544,0.415084116
coated_79_9,TRUE,TRUE,347,0.739527,0.670736,13.628335,9.41889,2.35748,0.0214085,3,0,0.344876197,(1.6+0.41017j),0.45,1.125417765,1.004075837,2.841668424,0.538065614,1.52279739,0.464118552,0.947807018,0.922174688,2.609877257,0.489841982,1.386318087,0.468818665,0.851083898,0.926816692,2.623014747,0.490935717,1.389413503,0.470299012,0.855707992
coated_79_10,TRUE,TRUE,347,0.74162,0.666576,13.3801,9.2534,2.39298,0.0167493,3,0,0.345973741,(1.6+0j),1.2,0.443154962,0.670430605,1.921164728,0.146996133,0.421227466,0.780743702,0.74152723,0.757926902,2.171891348,0.155536161,0.4456995,0.794787386,0.612117903,0.727627032,2.085064999,0.165228027,0.473472205,0.772922089,0.589758745
